value,customs_districts_label,location_chinese_trader,trader_zone,customs_regime,country_of_destination,country_of_consumption,location_chinese_producer,producer_zone,transportation_modes,china_hs8,quantity_unit,quantity
4418175,,Zhoushan,Others,Ordinary trade,Australia,Australia,Guangzhou,Others,,27011290,Kilogram,46015000
60935,,Zhuhai,Special Economic Zone,Border trade,Vietnam,Vietnam,Ruili County,Others,,94016900,Number of item/Set,700
4680,,Cixi,Others,Ordinary trade,Malaysia,Malaysia,Qingpu,Others,,39019020,Kilogram,2000
127758,,Zhangzhou,Others,Ordinary trade,Ukraine,Ukraine,3117,Others,,44032010,Cubic meter,980
168203,,Fengtai,Others,Ordinary trade,Germany,Germany,Fengtai,Others,,1012900,Kilogram,2400
3175524,,Taizhou,Others,Process with imported materials,Taiwanprov.,Taiwanprov.,Huangyan,Others,,3034300,Kilogram,1605236
536138,,Xuhui,Others,Ordinary trade,Turkey,Turkey,Taizhou,Others,,25151100,Kilogram,2050760
861638,,4512,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Yueyang,Others,,27131190,Kilogram,6834540
24187,,Fuzhou,Others,Ordinary trade,UnitedStates,UnitedStates,Nanhui,Others,,28183000,Kilogram,1900
10194,,Wujiang,Others,Ordinary trade,France,France,Changning,Others,,22042100,Liter,450
4538,,Qinhuangdao,Others,39,KoreaRep,KoreaRep,Hexi,Others,,84829900,Kilogram,170
29784,,Xiamen,Special Economic Zone,Ordinary trade,Taiwanprov.,Taiwanprov.,Huzhou,Others,,33021090,Kilogram,2514
31177,,Xi'an,Others,Ordinary trade,France,France,Guangzhou,Others,,22042100,Liter,10350
45427,,Panyu,Others,Ordinary trade,NewZealand,NewZealand,Jiading,Others,,4051000,Kilogram,5824
81181,,Baodi,Others,Ordinary trade,Indonesia,Indonesia,Baodi,Others,,3011100,Kilogram,4643
17776,,Hechuan,Others,Ordinary trade,NewZealand,NewZealand,Yubei,Ecoomic & Technological Development Area,,25301020,Kilogram,51000
35093,,5127,Others,Ordinary trade,HongKong,Japan,Haidion,Hi-Technology Industry Development Area,,90272011,Number of item/Set,1
1230,,Hangzhou,Others,Ordinary trade,Australia,Australia,Danyang,Others,,44129910,Cubic meter,0
2134961,,Shenzhen,Special Economic Zone,Ordinary trade,UnitedStates,UnitedStates,Huaiyin,Others,,2071411,Kilogram,2011520
490,,Changpin,Others,39,Netherlands,Netherlands,Xuanwu,Others,,30012000,Kilogram,0
58258,,Zhangzhou,Others,Ordinary trade,Chile,Chile,Dalian,Others,,44071030,Cubic meter,235
49300,,Yangpu,Others,Ordinary trade,Thailand,Thailand,Shijiazhuang,Others,,87042100,Number of item/Set,2
9771,,Daqing,Hi-Technology Industry Development Area,Ordinary trade,Gambia,Gambia,Suifenhe,Others,,27101922,Kilogram,15764
347246,,Shenzhen,Special Economic Zone,Ordinary trade,Australia,Australia,Anyang,Others,,10019900,Kilogram,983110
50167,,Harbin,Others,Ordinary trade,Taiwanprov.,Taiwanprov.,Huizhou,Others,,85142000,Number of item/Set,1
802898,,Erenhot,Others,Ordinary trade,Russia,Russia,3752,Others,,44032010,Cubic meter,5915
3462372,,Shenzhen,Special Economic Zone,Ordinary trade,Indonesia,Indonesia,Zhoushan,Others,,27011290,Kilogram,33362000
3312,,Wujiang,Others,Process with imported materials,HongKong,China,Changzhou,Others,,85044099,Number of item/Set,1200
24,,Chuxian,Others,39,Kenya,Kenya,Changning,Others,,31053000,Kilogram,2
71037,,Zhangjiagang,Others,Ordinary trade,Cameroon,Cameroon,Xuzhou,Others,,44034990,Cubic meter,151
2945,,Dehong,Others,Border trade,Myanmar,Myanmar,Ruili County,Others,,5080010,Kilogram,12350
55763,,Other,Others,Ordinary trade,Australia,Australia,Xuanwu,Others,,2044100,Kilogram,15490
3254269,,Rizhao,Others,Ordinary trade,Malaysia,Malaysia,Tangshan,Others,,26011190,Kilogram,33739530
142,,3117,Others,Ordinary trade,Germany,Japan,Kunshan,Others,,40169310,Kilogram,3
584927,,Zibo,Others,Ordinary trade,UnitedKingdom,UnitedKingdom,Luwan,Others,,41044100,Kilogram,23000
9829,,Other,Others,Ordinary trade,Pakistan,Taiwanprov.,Chaoyang,Others,,25151100,Kilogram,49000
87008,,Handan,Others,Process & assembling,Belgium,Belgium,Hengshui,Others,,43018010,Kilogram,13000
169786,,Quanzhou,Others,Ordinary trade,Iran,Iran,Xuzhou,Others,,25151200,Kilogram,625437
24886,,Fangshan,Others,Ordinary trade,Germany,China,Huairou,Others,,63049390,Kilogram,290
869172,,Putuo,Others,Ordinary trade,UnitedStates,UnitedStates,Zhangjiagang,Bonded Area,,29291090,Kilogram,105336
187831,,Xiamen,Special Economic Zone,Ordinary trade,Netherlands,Netherlands,Daxing,Others,,6011021,Number of item/Set,419875
72668,,Dalian,Others,Ordinary trade,Denmark,Denmark,Suzhou,Others,,38119000,Kilogram,25058
280000,,Changpin,Others,Ordinary trade,UnitedStates,UnitedStates,Hefei,Hi-Technology Industry Development Area,,90221400,Number of item/Set,1
52005,,Jiangyin,Others,Ordinary trade,Belgium,Belgium,Wuhan,Others,,39021000,Kilogram,24750
2354,,Longyian,Others,Ordinary trade,KoreaRep,KoreaRep,Wenzhou,Others,,84289090,Number of item/Set,1
11304,,Jingmen,Others,Process with imported materials,HongKong,Germany,Jingzhou,Others,,40161010,Kilogram,274
26391,,Dongguan,Others,Ordinary trade,Ukraine,Ukraine,3117,Others,,44039980,Cubic meter,103
271654,,Suqian,Others,Ordinary trade,Uruguay,Uruguay,Huimin,Others,,41015019,Kilogram,189940
13408,,Yiwu,Others,Process with imported materials,Germany,Germany,Qingdao,Others,,48211000,Kilogram,470
3360568,,Suifenhe,Others,Border trade,Russia,Russia,Fujin,Others,,44071020,Cubic meter,23544
1800,,Nanning,Others,Ordinary trade,Thailand,Thailand,Pingxiang,Others,,8045020,Kilogram,70
8204,,Ruili County,Others,Border trade,Myanmar,Myanmar,Kunming,Others,,12119050,Kilogram,26000
7479,,Yangzhou,Others,Ordinary trade,UnitedStates,UnitedStates,3117,Others,,39199090,Kilogram,77
150689,,Guangzhou,Others,Ordinary trade,France,France,Shenyang,Others,,22042100,Liter,36115
46080,,Jinzhou,Others,Ordinary trade,Japan,Japan,Pudong,Bonded Area,,29212900,Kilogram,16000
51,,Xuhui,Others,39,France,France,Huangyan,Others,,39241000,Kilogram,1
